date,score
2021-11-25,2
2021-11-26,0
2021-11-27,0
2021-11-28,23
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,0
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,0
2021-12-08,5
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-13,0
2021-12-14,0
2021-12-15,0
2021-12-16,4
2021-12-17,0
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,0
2021-12-28,0
2021-12-29,3
2021-12-30,0
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,2
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,4
2022-01-22,10
2022-01-23,2
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,13
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,5
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,2
2022-02-15,0
2022-02-16,0
2022-02-17,0
2022-02-18,0
2022-02-19,0
2022-02-20,0
2022-02-21,0
2022-02-22,18
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-02-27,0
2022-02-28,11
2022-03-01,5
2022-03-02,5
2022-03-03,0
2022-03-04,1
2022-03-05,11
2022-03-06,0
2022-03-07,17
2022-03-08,33
2022-03-09,12
2022-03-10,18
2022-03-11,18
2022-03-12,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,4
2022-03-18,26
2022-03-19,2
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,33
2022-03-25,6
2022-03-26,0
2022-03-27,4
2022-03-28,21
2022-03-29,19
2022-03-30,15
2022-03-31,0
2022-04-01,0
2022-04-02,12
2022-04-03,0
2022-04-04,0
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,0
2022-04-09,3
2022-04-10,15
2022-04-11,2
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,4
2022-04-16,8
2022-04-17,0
2022-04-18,5
2022-04-19,2
2022-04-20,0
2022-04-21,1
2022-04-22,0
2022-04-23,0
2022-04-24,3
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-04-30,12
2022-05-01,13
2022-05-02,4
2022-05-03,3
2022-05-04,11
2022-05-05,0
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,5
2022-05-10,14
2022-05-11,59
2022-05-12,52
2022-05-13,44
2022-05-14,13
2022-05-15,25
2022-05-16,27
2022-05-17,8
2022-05-18,0
2022-05-19,2
2022-05-20,23
2022-05-21,4
2022-05-22,30
2022-05-23,14
2022-05-24,28
2022-05-25,9
2022-05-26,13
2022-05-27,0
2022-05-28,4
2022-05-29,0
2022-05-30,0
2022-05-31,10
2022-06-01,0
2022-06-02,0
2022-06-03,3
2022-06-04,15
2022-06-05,10
2022-06-06,8
2022-06-07,17
2022-06-08,47
2022-06-09,33
2022-06-10,45
2022-06-11,19
2022-06-12,21
2022-06-13,48
2022-06-14,22
2022-06-15,50
2022-06-16,19
2022-06-17,35
2022-06-18,19
2022-06-19,11
2022-06-20,14
2022-06-21,23
2022-06-22,27
2022-06-23,10
2022-06-24,32
2022-06-25,13
2022-06-26,4
2022-06-27,0
2022-06-28,14
2022-06-29,9
2022-06-30,0
2022-07-01,17
2022-07-02,25
2022-07-03,5
2022-07-04,0
2022-07-05,3
2022-07-06,3
2022-07-07,10
2022-07-08,41
2022-07-09,8
2022-07-10,33
2022-07-11,11
2022-07-12,14
2022-07-13,0
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,33
2022-07-19,23
2022-07-20,17
2022-07-21,23
2022-07-22,11
2022-07-23,15
2022-07-24,48
2022-07-25,31
2022-07-26,0
2022-07-27,4
2022-07-28,12
2022-07-29,9
2022-07-30,0
2022-07-31,2
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,12
2022-08-07,0
2022-08-08,0
2022-08-09,20
2022-08-10,0
2022-08-11,10
2022-08-12,0
2022-08-13,0
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,14
2022-08-18,4
2022-08-19,0
2022-08-20,0
2022-08-21,0
2022-08-22,0
2022-08-23,0
2022-08-24,12
2022-08-25,4
2022-08-26,0
2022-08-27,0
2022-08-28,9
2022-08-29,27
2022-08-30,5
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,7
2022-09-08,16
2022-09-09,28
2022-09-10,33
2022-09-11,0
2022-09-12,11
2022-09-13,0
2022-09-14,0
2022-09-15,4
2022-09-16,0
2022-09-17,5
2022-09-18,9
2022-09-19,28
2022-09-20,0
2022-09-21,29
2022-09-22,0
2022-09-23,12
2022-09-24,18
2022-09-25,0
2022-09-26,0
2022-09-27,11
2022-09-28,18
2022-09-29,2
2022-09-30,22
2022-10-01,4
2022-10-02,0
2022-10-03,4
2022-10-04,0
2022-10-05,0
2022-10-06,5
2022-10-07,21
2022-10-08,3
2022-10-09,4
2022-10-10,3
2022-10-11,6
2022-10-12,13
2022-10-13,14
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,3
2022-10-18,30
2022-10-19,5
2022-10-20,17
2022-10-21,0
2022-10-22,0
2022-10-23,0
2022-10-24,11
2022-10-25,13
2022-10-26,20
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,19
2022-10-31,18
2022-11-01,3
2022-11-02,6
2022-11-03,12
2022-11-04,24
2022-11-05,32
2022-11-06,19
2022-11-07,11
2022-11-08,24
2022-11-09,47
2022-11-10,27
2022-11-11,6
2022-11-12,6
2022-11-13,32
2022-11-14,30
2022-11-15,21
2022-11-16,19
2022-11-17,0
2022-11-18,0
2022-11-19,53
2022-11-20,7
2022-11-21,25
2022-11-22,26
2022-11-23,21
2022-11-24,17
2022-11-25,26
2022-11-26,39
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,5
2022-12-01,17
2022-12-02,11
2022-12-03,11
2022-12-04,9
2022-12-05,8
2022-12-06,16
2022-12-07,0
2022-12-08,19
2022-12-09,23
2022-12-10,5
2022-12-11,4
2022-12-12,4
2022-12-13,7
2022-12-14,12
2022-12-15,0
2022-12-16,9
2022-12-17,0
2022-12-18,0
2022-12-19,16
2022-12-20,21
2022-12-21,7
2022-12-22,0
2022-12-23,9
2022-12-24,25
2022-12-25,24
2022-12-26,18
2022-12-27,26
2022-12-28,12
2022-12-29,20
2022-12-30,41
2022-12-31,31
2023-01-01,14
2023-01-02,5
2023-01-03,8
2023-01-04,1
2023-01-05,6
2023-01-06,20
2023-01-07,1
2023-01-08,8
2023-01-09,6
2023-01-10,7
2023-01-11,23
2023-01-12,15
2023-01-13,25
2023-01-14,7
2023-01-15,28
2023-01-16,17
2023-01-17,13
2023-01-18,3
2023-01-19,2
2023-01-20,10
2023-01-21,10
2023-01-22,0
2023-01-23,10
2023-01-24,4
2023-01-25,0
2023-01-26,6
2023-01-27,8
2023-01-28,2
2023-01-29,12
2023-01-30,14
2023-01-31,0
2023-02-01,4
2023-02-02,19
2023-02-03,0
2023-02-04,0
2023-02-05,17
2023-02-06,2
2023-02-07,0
2023-02-08,7
2023-02-09,7
2023-02-10,25
2023-02-11,34
2023-02-12,0
2023-02-13,0
2023-02-14,26
2023-02-15,32
2023-02-16,0
2023-02-17,0
2023-02-18,13
2023-02-19,14
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,8
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,7
2023-02-28,0
2023-03-01,4
2023-03-02,12
2023-03-03,12
